firstName,lastName,wiId,averageScore,minutesPlayed,role
Killian,Jakob,391449,2.31,141,Defender
Dan,Gosling,7989,11.129999999999999,1924,Midfielder
Moritz,Nicolas,327077,0,0,Goalkeeper
Aaron,Ramsey,7870,78.45,2296,Midfielder
Sherif,Ekramy Ahmed,120151,0,0,Goalkeeper
Pape ,N'Diaye Souaré,25703,0.18,8,Defender
Aritz,Castro Pérez,410869,0,0,Goalkeeper
Ramiro,Guerra Pereyra,282445,0,63,Midfielder
Syam,Ben Youssef,10014,0.62,131,Defender
Fágner,Conserva Lemos,40707,0.36,360,Defender
Firmin Ndombe,Mubele,264989,29.34,1560,Forward
Abdoulaye,Doucouré,28292,54.36,3325,Midfielder
Federico,Ricci,250956,8.96,1129,Forward
Granit,Xhaka,49876,58.14,4016,Midfielder
Christoph,Janker,15095,0.08,17,Defender
Alfreð,Finnbogason,37948,46.06999999999999,2163,Forward
José Manuel,García Naranjo,265807,2.42,534,Forward
Harry ,Maguire,8653,77.35000000000001,4064,Defender
José Ángel,Valdés Díaz,20436,16.939999999999998,2431,Defender
Fabian Lukas,Schär,50102,57.39000000000003,2880,Defender
Kai,Havertz,425925,48.910000000000004,2141,Midfielder
Matthew,Lowton,8643,17.86,2294,Defender
Adama,Niane,219350,33.050000000000004,2143,Forward
Mamadou Jean-Luc,Diarra Dompé ,248632,0.01,28,Midfielder
Raúl Mario,Ruidíaz Misitich,89571,0,0,Forward
Lorenzo,Bruzzi,536520,0,0,Goalkeeper
Anthony,Knockaert,25950,20.880000000000003,2411,Midfielder
Mikel,Merino Zazón,339789,14.08,1329,Midfielder
Khadim,N'Diaye,133897,0,0,Goalkeeper
Augusto Matías,Fernández,86623,0.12000000000000001,82,Midfielder
Christian,Bolaños Navarro,55988,0,66,Midfielder
Jack,Stephens,8136,26.38,1980,Defender
Andrés Eduardo,Fernández Moreno,3486,0,0,Goalkeeper
Phil,Jones,7918,30.869999999999997,2155,Defender
Lucas,Tousart,342743,17.76,3139,Midfielder
Gabriel,Boschilia,255320,1.49,67,Midfielder
Driss,Khalid,437057,0.13,28,Forward
Ulisses Alexandre,Garcia Lopes,329202,0.8099999999999999,90,Defender
Mohammad Ibrahim,Al Sahlawi,122671,0.02,97,Forward
Norbert,Gyömbér,104937,1.38,84,Defender
Pavel,Kadeřábek,82487,19.299999999999997,2468,Defender
